sn,location_raw,latitude,longitude,PH,EC,TH,Ca,Mg,Na,K,CO3,HCO3,Cl,SO4,NO3,F,U_ppb,sample_date,NDVI,NDWI,Distance_to_Industry_km,Industrial_flag,hotspot_label,rain_actual_24h,rain_normal_24h,rain_pdn
1.0,Ariyalur Andimadam,11.3385,79.3775,7.66,560.0,100.0,32.0,5.0,74.0,12.0,0.0,195.0,21.0,62.4,43.0,0.81,1.09,2022-05-01,0.362,0.425,89.74,0,1,11.5,11.9,-3.36
2.0,Ariyalur Elaiyur,11.2333,79.3151,7.27,184.0,60.0,14.0,6.0,16.0,1.0,0.0,49.0,21.0,24.0,1.0,0.12,1.71,2022-05-01,0.766,-0.009,76.75,0,0,17.3,5.6,208.93
3.0,Ariyalur G.K.cholapuram,11.2066,79.4492,7.44,711.0,160.0,22.0,26.0,81.0,13.0,0.0,189.0,85.0,41.28,40.0,0.68,3.74,2022-05-01,0.612,0.431,79.17,0,1,19.6,24.2,-19.01
4.0,Ariyalur Gangaikondachozhapuram EW,11.208,79.4475,7.12,1521.0,560.0,108.0,70.0,83.0,12.0,0.0,378.0,177.0,177.6,11.0,0.92,14.21,2022-05-01,0.519,-0.083,79.26,0,1,8.2,18.4,-55.43
5.0,Ariyalur Jayamkondan,11.2129,79.3647,7.43,668.0,155.0,36.0,16.0,78.0,12.0,0.0,256.0,67.0,24.0,14.0,0.51,5.01,2022-05-01,0.209,-0.085,77.76,0,0,16.6,23.7,-29.96
6.0,Ariyalur Kattathur,11.307,79.3496,7.54,674.0,155.0,42.0,12.0,76.0,13.0,0.0,293.0,25.0,48.0,16.0,0.67,1.96,2022-05-01,0.209,0.127,85.08,0,0,15.3,10.3,48.54
7.0,Ariyalur Keelkavarapalayam OW I,11.3476,79.3843,7.6,336.0,125.0,22.0,17.0,21.0,4.0,0.0,92.0,35.0,28.8,25.0,0.31,1.91,2022-05-01,0.141,0.242,90.98,0,1,11.5,17.2,-33.14
8.0,Ariyalur Kiharasanur,11.0114,78.9319,7.4,1296.0,210.0,68.0,10.0,193.0,10.0,0.0,122.0,223.0,67.2,198.0,0.91,22.46,2022-05-01,0.706,0.439,29.96,0,2,19.1,18.6,2.69
9.0,Ariyalur Kilpazhavur,11.0436,79.0653,7.26,1331.0,215.0,54.0,19.0,202.0,13.0,0.0,275.0,142.0,115.2,155.0,0.85,19.66,2022-05-01,0.521,0.378,42.07,0,2,4.0,11.4,-64.91
10.0,Ariyalur Kuvagam OW,11.2846,79.2818,7.4,298.0,85.0,16.0,11.0,18.0,14.0,0.0,98.0,21.0,14.4,25.0,0.21,1.23,2022-05-01,0.596,0.212,77.98,0,1,2.2,22.0,-90.0
11.0,Ariyalur Mahimapuram EW,11.2346,79.3701,7.3,436.0,130.0,34.0,11.0,30.0,14.0,0.0,122.0,35.0,52.8,7.0,0.52,12.33,2022-05-01,0.114,0.092,80.23,0,0,17.1,23.9,-28.45
12.0,Ariyalur Oliyur EW,11.3979,79.3186,6.79,965.0,315.0,24.0,62.0,69.0,16.0,0.0,226.0,89.0,96.0,69.0,0.63,3.05,2022-05-01,0.779,0.598,86.38,0,2,8.8,22.7,-61.23
13.0,Ariyalur Papakudi,11.2855,79.49,7.38,741.0,165.0,38.0,17.0,83.0,16.0,0.0,165.0,89.0,48.0,66.0,0.47,4.42,2022-05-01,0.683,0.198,88.86,0,2,16.9,19.8,-14.65
14.0,Ariyalur Periyathukurichi,11.4104,79.35,7.4,1013.0,250.0,42.0,35.0,101.0,36.0,0.0,244.0,124.0,96.0,56.0,0.21,12.51,2022-05-01,0.249,0.216,87.02,0,2,17.9,10.5,70.48
15.0,Ariyalur Thandalai (kallathur),11.2576,79.3754,7.59,216.0,80.0,22.0,6.0,9.0,2.0,0.0,73.0,7.0,7.2,31.0,0.11,5.77,2022-05-01,0.227,0.015,82.85,0,1,1.2,10.6,-88.68
16.0,Ariyalur V.Ramanapuram OW,11.1754,79.1096,7.3,542.0,200.0,28.0,32.0,28.0,9.0,0.0,153.0,71.0,14.4,43.0,1.58,9.93,2022-05-01,0.228,0.456,55.61,0,2,17.7,24.3,-27.16
17.0,Chennai ADAYAR,13.0089,80.2627,7.51,19600.0,2400.0,240.0,440.0,3800.0,130.0,0.0,352.0,6877.0,960.0,1.0,0.84,0.54,2022-05-01,0.313,0.386,39.15,0,2,9.0,5.2,73.08
18.0,Chennai Adayar dw,13.0192,80.2678,6.78,1262.0,280.0,40.0,44.0,140.0,31.0,0.0,336.0,170.0,100.0,2.0,0.47,0.74,2022-05-01,0.467,0.055,39.91,0,0,10.2,19.3,-47.15
19.0,Chennai Alwarpet,13.025,80.2583,7.33,1580.0,350.0,56.0,51.0,175.0,17.0,0.0,293.0,238.0,180.0,1.0,0.11,0.74,2022-05-01,0.402,-0.042,39.01,0,1,12.5,19.1,-34.55
20.0,Chennai Aminjikarai,13.0667,80.2278,7.5,1062.0,145.0,40.0,11.0,155.0,30.0,0.0,287.0,138.0,66.0,7.0,0.4,0.34,2022-05-01,0.304,0.376,37.06,0,0,18.5,17.5,5.71
21.0,Chennai BEASANT NAGAR,12.9985,80.2645,7.35,1062.0,280.0,84.0,17.0,68.0,16.0,0.0,310.0,121.0,35.0,6.0,0.69,0.3,2022-05-01,0.528,0.358,39.17,0,0,0.4,24.8,-98.39
22.0,Chennai Besant Nagar,13.0014,80.27,7.28,685.0,225.0,46.0,27.0,36.0,24.0,0.0,256.0,75.0,37.0,2.0,0.35,0.51,2022-05-01,0.198,0.091,39.82,0,0,9.5,11.2,-15.18
23.0,Chennai Chepauk (A),13.0556,80.2814,7.1,1480.0,440.0,118.0,35.0,154.0,32.0,0.0,329.0,256.0,112.0,43.0,0.45,4.54,2022-05-01,0.305,0.566,39.74,0,1,13.8,11.8,16.95
24.0,Chennai Egmore,13.0747,80.2625,7.46,585.0,145.0,36.0,13.0,55.0,17.0,0.0,195.0,67.0,27.0,2.0,0.29,1.4,2022-05-01,0.356,0.006,37.48,0,0,14.5,6.6,119.7
25.0,Chennai Guindy (CLRI) pz,13.0222,80.225,7.38,700.0,200.0,56.0,15.0,59.0,15.0,0.0,171.0,121.0,18.0,5.0,0.75,1.63,2022-05-01,0.419,0.203,35.33,0,0,13.9,13.9,0.0
26.0,Chennai K.K.Nagar,13.0417,80.2083,7.13,735.0,265.0,72.0,21.0,51.0,18.0,0.0,281.0,82.0,64.0,2.0,0.66,2.17,2022-05-01,0.65,0.561,34.11,0,0,2.7,10.2,-73.53
27.0,Chennai Kottivakkam,12.9669,80.2603,7.58,1300.0,345.0,60.0,47.0,136.0,27.0,0.0,390.0,188.0,130.0,0.0,0.23,1.73,2022-05-01,0.24,0.194,38.39,0,0,6.0,11.9,-49.58
28.0,Chennai Pallavaram pz,12.9728,80.1544,7.24,690.0,240.0,56.0,24.0,26.0,15.0,0.0,159.0,121.0,12.0,3.0,0.96,4.81,2022-05-01,0.46,0.347,26.7,0,0,7.2,21.7,-66.82
29.0,Chennai Taramani (NITTR PZ),12.9867,80.2497,7.18,655.0,140.0,16.0,24.0,96.0,16.0,0.0,268.0,114.0,10.0,3.0,0.42,1.73,2022-05-01,0.515,0.178,37.38,0,0,16.1,23.7,-32.07
30.0,Chennai Tirumangalam,13.0833,80.1875,7.1,5740.0,1025.0,172.0,145.0,687.0,17.0,0.0,378.0,1335.0,386.0,3.0,0.17,36.51,2022-05-01,0.133,0.092,33.66,0,2,5.6,8.7,-35.63
31.0,Chennai Tondiarpet,13.1167,80.275,7.3,1422.0,375.0,92.0,35.0,144.0,33.0,0.0,329.0,206.0,150.0,24.0,0.35,2.69,2022-05-01,0.525,0.589,32.92,0,1,4.2,12.5,-66.4
32.0,Chennai Vallalar Nagar,13.1056,80.2814,7.36,555.0,140.0,30.0,16.0,59.0,18.0,0.0,189.0,85.0,27.0,0.0,0.27,2.39,2022-05-01,0.219,0.187,34.22,0,0,19.1,23.6,-19.07
33.0,Chennai Vepery,13.0833,80.2708,7.41,2600.0,430.0,34.0,84.0,401.0,46.0,0.0,519.0,199.0,434.0,142.0,0.36,2.45,2022-05-01,0.146,0.526,36.58,0,2,0.2,6.2,-96.77
34.0,Chennai WASAHERMENPET,13.117,80.2852,7.91,267.0,70.0,12.0,10.0,22.0,8.0,0.0,121.0,14.0,2.0,1.0,0.33,0.56,2022-05-01,0.764,0.061,33.01,0,0,20.0,6.8,194.12
35.0,Coimbatore Alandurai pz,10.9625,76.8008,7.39,632.0,230.0,36.0,34.0,38.0,16.0,0.0,165.0,71.0,87.0,18.0,0.59,0.77,2022-05-01,0.776,0.049,12.76,0,0,13.5,8.3,62.65
36.0,Coimbatore Ambarampalayam,10.6353,76.9411,7.1,768.0,360.0,80.0,39.0,19.0,13.0,0.0,250.0,78.0,65.0,6.0,0.6,0.49,2022-05-01,0.666,-0.078,38.31,0,0,16.6,16.9,-1.78
37.0,Coimbatore AnaimalaiPZ,10.5097,77.0594,6.94,975.0,420.0,80.0,54.0,41.0,5.0,0.0,262.0,142.0,62.0,36.0,1.23,0.45,2022-05-01,0.313,0.356,54.56,0,1,5.9,8.0,-26.25
38.0,Coimbatore Andipalayam,11.005,77.4039,7.69,452.0,190.0,16.0,36.0,15.0,3.0,0.0,128.0,85.0,12.0,5.0,0.18,0.44,2022-05-01,0.168,0.158,13.83,0,0,0.3,24.4,-98.77
39.0,Coimbatore Angalakurichi,10.525,76.9994,7.4,1660.0,410.0,100.0,39.0,190.0,25.0,0.0,586.0,199.0,92.0,28.0,1.62,2.01,2022-05-01,0.579,0.505,51.31,0,2,14.8,13.9,6.47
40.0,Coimbatore Annur1,11.2333,77.1083,7.36,2580.0,760.0,128.0,107.0,198.0,21.0,0.0,488.0,305.0,298.0,178.0,0.43,5.58,2022-05-01,0.408,0.231,17.36,0,2,16.7,15.0,11.33
41.0,Coimbatore Chinnaripalayam,10.7292,77.0917,7.24,3100.0,800.0,208.0,68.0,241.0,72.0,0.0,470.0,575.0,182.0,162.0,0.57,0.51,2022-05-01,0.185,0.578,34.03,0,2,14.8,9.9,49.49
42.0,Coimbatore Coimbatore Taluk Office,11.0017,76.9711,7.27,1461.0,450.0,92.0,54.0,132.0,29.0,0.0,458.0,192.0,90.0,57.0,0.77,3.64,2022-05-01,0.447,0.03,6.75,0,2,2.9,14.4,-79.86
43.0,Coimbatore Corporation North Zone pz,11.0161,76.9772,6.9,275.0,130.0,24.0,17.0,4.0,14.0,0.0,67.0,53.0,21.0,1.0,0.34,0.0,2022-05-01,0.124,0.508,8.07,0,0,15.1,18.2,-17.03
44.0,Coimbatore Cwc Campus pz,11.0414,77.0006,7.41,2490.0,430.0,64.0,66.0,389.0,19.0,0.0,470.0,121.0,675.0,8.0,1.57,17.34,2022-05-01,0.737,0.444,11.78,0,2,15.4,20.0,-23.0
45.0,Coimbatore Devanur Pudur pz,10.5542,77.0856,7.36,1486.0,300.0,80.0,24.0,125.0,97.0,0.0,384.0,220.0,65.0,0.0,1.17,0.91,2022-05-01,0.281,0.44,50.87,0,1,13.2,20.1,-34.33
46.0,Coimbatore Ganesapuram,11.1758,77.0575,7.48,1786.0,530.0,124.0,54.0,133.0,16.0,0.0,470.0,284.0,47.0,76.0,0.16,13.62,2022-05-01,0.564,0.491,25.64,0,2,15.3,16.6,-7.83
47.0,Coimbatore Ganganaickenpalayam pz,11.1092,77.4356,7.18,4640.0,1380.0,240.0,190.0,178.0,17.0,0.0,366.0,937.0,180.0,41.0,0.35,4.53,2022-05-01,0.318,0.433,18.05,0,2,16.9,23.1,-26.84
48.0,Coimbatore Ghs Ganapathi pz,11.0419,76.9419,6.8,287.0,140.0,24.0,19.0,8.0,14.0,0.0,116.0,36.0,18.0,2.0,0.37,0.0,2022-05-01,0.464,0.338,7.58,0,0,12.3,21.3,-42.25
49.0,Coimbatore Gopalapuaram,10.6958,76.9375,7.28,1324.0,520.0,120.0,54.0,79.0,19.0,0.0,378.0,213.0,91.0,23.0,0.88,2.15,2022-05-01,0.483,-0.008,31.58,0,1,1.8,20.1,-91.04
50.0,Coimbatore Kallampalayam pz,11.03,77.2833,7.51,3070.0,640.0,88.0,102.0,352.0,17.0,0.0,451.0,462.0,263.0,227.0,1.48,2.53,2022-05-01,0.229,-0.077,1.74,1,2,9.8,6.1,60.66
51.0,Coimbatore Kaltanpet (Karanampettai),11.0167,77.1847,7.46,1088.0,470.0,116.0,44.0,46.0,7.0,0.0,311.0,156.0,92.0,2.0,0.52,2.0,2022-05-01,0.779,0.545,11.69,0,0,1.6,5.1,-68.63
52.0,Coimbatore Kaniyampoondi pz,11.1289,77.2833,7.38,1632.0,530.0,112.0,61.0,109.0,8.0,0.0,464.0,277.0,52.0,15.0,0.78,2.43,2022-05-01,0.643,0.332,9.27,0,1,8.2,9.2,-10.87
53.0,Coimbatore Kattampatty pz,10.8053,77.1425,7.26,1689.0,600.0,160.0,49.0,101.0,23.0,0.0,323.0,206.0,153.0,199.0,0.96,3.32,2022-05-01,0.758,0.458,31.05,0,2,8.1,18.3,-55.74
54.0,Coimbatore Kinathukadavu,10.7333,77.0292,7.31,1671.0,570.0,140.0,54.0,114.0,42.0,0.0,378.0,227.0,174.0,70.0,0.68,2.69,2022-05-01,0.726,0.237,30.14,0,2,1.3,13.2,-90.15
55.0,Coimbatore Kovilvazhi IV,11.0583,77.3889,7.2,1743.0,530.0,68.0,88.0,140.0,16.0,0.0,427.0,234.0,126.0,116.0,0.7,6.92,2022-05-01,0.519,-0.018,11.51,0,2,7.0,13.0,-46.15
56.0,Coimbatore Kuniyamuthur,10.9667,76.9167,7.22,1270.0,460.0,112.0,44.0,83.0,21.0,0.0,305.0,199.0,76.0,104.0,0.48,2.06,2022-05-01,0.745,-0.012,1.43,1,2,2.2,22.7,-90.31
57.0,Coimbatore Kunnakalpalayam pz,11.0456,77.3272,7.44,7430.0,1280.0,272.0,146.0,1059.0,14.0,0.0,549.0,1406.0,1188.0,98.0,1.54,5.46,2022-05-01,0.162,0.38,4.57,1,2,16.2,22.9,-29.26
58.0,Coimbatore Madukkarai -PZ,10.9083,76.9667,7.54,1363.0,430.0,120.0,32.0,117.0,20.0,0.0,323.0,178.0,165.0,93.0,1.0,2.4,2022-05-01,0.237,0.201,9.79,0,2,19.0,23.2,-18.1
59.0,Coimbatore Mettupalayam pz,11.3,76.9472,7.4,1169.0,470.0,84.0,63.0,82.0,5.0,0.0,390.0,128.0,101.0,21.0,0.57,0.68,2022-05-01,0.132,0.04,32.66,0,1,1.4,11.3,-87.61
60.0,Coimbatore Oothukadu,11.1119,77.3344,7.4,2930.0,860.0,164.0,109.0,201.0,25.0,0.0,348.0,589.0,263.0,38.0,0.28,3.57,2022-05-01,0.328,0.244,9.13,0,1,19.1,18.8,1.6
61.0,Coimbatore P.N.palayam,11.2069,76.9922,7.46,2270.0,610.0,112.0,80.0,222.0,38.0,0.0,586.0,284.0,161.0,137.0,1.25,8.71,2022-05-01,0.372,-0.055,26.69,0,2,10.5,10.4,0.96
62.0,Coimbatore Pallapalayam pz,10.5256,77.2181,7.2,1746.0,650.0,212.0,29.0,96.0,6.0,0.0,293.0,170.0,298.0,23.0,1.57,12.57,2022-05-01,0.29,0.307,58.19,0,2,6.0,8.8,-31.82
63.0,Coimbatore Periya Negamam pz,10.7403,77.1014,7.28,2330.0,780.0,188.0,75.0,145.0,23.0,0.0,311.0,383.0,147.0,213.0,0.9,4.78,2022-05-01,0.68,0.088,33.68,0,2,1.5,8.7,-82.76
64.0,Coimbatore Pichanur,10.875,76.9,7.18,314.0,140.0,24.0,19.0,7.0,14.0,0.0,49.0,36.0,87.0,2.0,0.14,0.0,2022-05-01,0.35,0.458,11.7,0,0,10.0,11.8,-15.25
65.0,Coimbatore Pillaimpalayam pz,11.1914,77.09,7.45,2720.0,660.0,112.0,92.0,270.0,20.0,0.0,549.0,454.0,230.0,41.0,0.52,4.59,2022-05-01,0.297,0.117,21.74,0,1,15.9,13.6,16.91
66.0,Coimbatore Podanur1,10.9667,76.9833,7.35,2400.0,730.0,164.0,78.0,212.0,32.0,0.0,531.0,433.0,79.0,86.0,0.6,5.72,2022-05-01,0.48,0.219,7.76,0,2,14.1,21.6,-34.72
67.0,Coimbatore Pollachi1,10.6611,77.0,7.4,1237.0,420.0,92.0,46.0,87.0,37.0,0.0,409.0,192.0,84.0,4.0,1.04,0.74,2022-05-01,0.199,-0.092,36.58,0,1,1.0,7.4,-86.49
68.0,Coimbatore Ponnaiyur,10.675,76.9375,7.36,960.0,360.0,68.0,46.0,55.0,17.0,0.0,281.0,149.0,63.0,41.0,0.87,0.2,2022-05-01,0.662,-0.049,33.88,0,1,1.5,19.7,-92.39
69.0,Coimbatore Samathur Hss pz,10.6022,77.0089,7.28,2750.0,810.0,200.0,75.0,217.0,32.0,0.0,549.0,554.0,93.0,5.0,1.58,5.88,2022-05-01,0.152,0.175,43.16,0,2,8.1,15.6,-48.08
70.0,Coimbatore Saravanampatti,11.0694,77.0014,6.88,332.0,150.0,40.0,12.0,5.0,14.0,0.0,92.0,71.0,11.0,1.0,0.15,0.0,2022-05-01,0.791,0.236,13.89,0,0,5.9,10.8,-45.37
71.0,Coimbatore Sarkar samakulam pz,11.1333,77.0333,7.29,2350.0,850.0,132.0,126.0,161.0,35.0,0.0,580.0,355.0,152.0,104.0,1.55,9.4,2022-05-01,0.641,0.32,21.58,0,2,4.6,14.9,-69.13
72.0,Coimbatore Seeliyur,11.1792,76.7583,7.7,1352.0,460.0,100.0,51.0,93.0,23.0,0.0,256.0,170.0,242.0,10.0,1.22,5.14,2022-05-01,0.239,0.104,22.39,0,1,5.6,11.0,-49.09
73.0,Coimbatore Singanallur,10.9964,77.0208,7.28,2510.0,560.0,80.0,88.0,307.0,14.0,0.0,897.0,327.0,93.0,15.0,0.77,1.74,2022-05-01,0.104,0.386,11.95,0,1,16.1,16.9,-4.73
74.0,Coimbatore Sokkanur,10.8083,76.9583,7.44,1323.0,340.0,76.0,36.0,85.0,116.0,0.0,323.0,170.0,173.0,36.0,0.89,0.65,2022-05-01,0.671,0.502,19.6,0,1,18.6,13.7,35.77
75.0,Coimbatore Sulur,11.025,77.125,7.3,2870.0,800.0,192.0,78.0,259.0,17.0,0.0,567.0,483.0,173.0,3.0,0.57,8.98,2022-05-01,0.595,0.446,18.02,0,1,8.1,8.3,-2.41
76.0,Coimbatore Telungupalayam pz,10.9833,76.9228,7.35,1450.0,510.0,108.0,58.0,102.0,21.0,0.0,500.0,213.0,71.0,11.0,0.64,7.47,2022-05-01,0.61,-0.072,1.02,1,0,18.1,7.3,147.95
77.0,Coimbatore Thathanur Aanaikalpalayam pz,11.3067,77.2789,7.4,783.0,290.0,64.0,32.0,36.0,17.0,0.0,275.0,85.0,41.0,11.0,0.46,9.87,2022-05-01,0.64,0.236,4.34,1,0,6.4,15.9,-59.75
78.0,Coimbatore Thivansapudur,10.6283,76.8753,7.46,1128.0,440.0,88.0,54.0,59.0,18.0,0.0,336.0,192.0,74.0,14.0,1.1,0.48,2022-05-01,0.152,-0.027,39.21,0,1,9.5,23.0,-58.7
79.0,Coimbatore Thondamuthur,10.9833,76.8333,7.42,1886.0,540.0,120.0,58.0,160.0,19.0,0.0,439.0,284.0,141.0,83.0,1.11,6.11,2022-05-01,0.351,0.069,9.02,0,2,4.5,11.9,-62.18
80.0,Coimbatore Tn Urban Studies pz,11.0219,76.9419,7.48,1575.0,290.0,56.0,36.0,240.0,7.0,0.0,549.0,121.0,160.0,6.0,1.7,13.12,2022-05-01,0.181,0.591,5.61,0,2,12.8,19.7,-35.03
81.0,Coimbatore Vadavalli,11.025,76.9083,7.53,2330.0,690.0,128.0,90.0,234.0,29.0,0.0,494.0,362.0,133.0,178.0,0.68,7.13,2022-05-01,0.704,-0.0,5.11,0,2,19.6,18.2,7.69
82.0,Coimbatore Varadharajapuram Murungapatti pz,10.6797,77.2719,7.26,1155.0,460.0,120.0,39.0,53.0,5.0,0.0,299.0,156.0,102.0,3.0,0.97,1.85,2022-05-01,0.536,0.249,40.62,0,0,12.1,23.6,-48.73
